mol_id,pubchem_sid,mol_name,smiles,formula_calcd,anionic
C19602,124490271,4-(Methylnitrosamino)-1-(1-oxido-3-pyridinyl)-1-butanone; 4-(Methylnitrosamino)-1-(3-pyridyl-N-oxide)-1-butanone; NNK-N-oxide,CN(CCCC(=O)c1ccc[n+]([O-])c1)N=O,C10H13N3O3,['[O-]']
C16166,47205476,"(7Z,10Z,13Z,16Z,19Z)-Docosapentaenoyl-CoA",CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,C43H68N7O17P3S,['[P](=O)(O)(O)']
C20644,172232368,"2-Amino-4,5-dihydroxy-6-oxo-7-(phosphooxy)heptanoate; 2-Amino-4,5-dihydroxy-6-oxo-7-(phosphonooxy)heptanoate; 2-Amino-4,5-dihydroxy-6-oxo-7-(phosphonooxy)heptanoic acid; 2-Amino-4,5-dihydroxy-6-one-heptanoic acid-7-phosphate",N[C@@H](CC(O)C(O)C(=O)COP(=O)(O)O)C(=O)O,C7H14NO9P,"['[O;H,-]C(=O)', '[P](=O)(O)(O)']"
C03433,6260,Streptamine 4-phosphate,N[C@@H]1[C@@H](O)[C@H](N)[C@@H](OP(=O)(O)O)[C@H](O)[C@H]1O,C6H15N2O7P,['[P](=O)(O)(O)']
C06503,8734,"Hydrogenobyrinate a,c diamide; Hydrogenobyrinate diamide; Hydrogenobyrinic acid a,c-diamide",C/C1=C2/NC([C@H](CC(=O)O)[C@@]2(C)CCC(=O)O)[C@]2(C)N=C(/C(C)=C3\N=C(/C=C4\N=C1[C@@H](CCC(=O)O)C4(C)C)[C@@H](CCC(=O)O)[C@]3(C)CC(N)=O)[C@@H](CCC(=O)O)[C@]2(C)CC(N)=O,C45H62N6O12,"['[O;H,-]C(=O)']"
C16170,47205480,"(7Z,10Z,13Z,16Z)-Docosatetraenoyl-CoA",CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,C43H70N7O17P3S,['[P](=O)(O)(O)']
C12115,14262,"3-Amino-4-hydroxybenzoate; 3-Amino-4-hydroxybenzoic acid; 3,4-AHBA",Nc1cc(C(=O)O)ccc1O,C7H7NO3,"['[O;H,-]C(=O)']"
C06509,8740,Adenosyl cobinamide phosphate; Adenosylcobinamide phosphate,C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4/[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@](C)(C5N=C1[C@](C)(CCC(=O)NC[C@@H](C)OP(=O)(O)O)[C@H]5CC(N)=O)N4[Co+]C[C@H]1O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]1O)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]2CCC(N)=O,C58H85CoN16O14P+,['[P](=O)(O)(O)']
C12116,14263,Esmeraldic acid,CC(O)c1cccc2nc3c(C(=O)O)cc4c(c3nc12)C(C)c1cccc2c1N4c1cccc(C(=O)O)c1N2,C30H22N4O5,"['[O;H,-]C(=O)']"
C16167,47205477,"(9Z,12Z,15Z,18Z,21Z)-Tetracosapentaenoyl-CoA",CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,C45H72N7O17P3S,['[P](=O)(O)(O)']
C16162,47205472,"(9Z,12Z,15Z)-Octadecatrienoyl-CoA; alpha-Linolenoyl-CoA",CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,C39H64N7O17P3S,['[P](=O)(O)(O)']
C03525,6333,O-Acetylneuraminic acid; O-Acetylated sialic acid,CC(=O)OC[C@@H](O)[C@@H](O)[C@@H]1OC(O)(C(=O)O)C[C@H](O)[C@H]1N,C11H19NO9,"['[O;H,-]C(=O)']"
C12092,14241,N-Methylanthraniloyl-CoA,CNc1ccccc1C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,C29H43N8O17P3S,['[P](=O)(O)(O)']
C06507,8738,Adenosyl cobyrinate hexaamide; Adenosylcobyric acid,C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4/[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@](C)(C5N=C1[C@](C)(CCC(=O)O)[C@H]5CC(N)=O)N4[Co+]C[C@H]1O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]1O)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]2CCC(N)=O,C55H77CoN15O11+,"['[O;H,-]C(=O)']"
C03782,6533,D-(1-Aminoethyl)phosphonate; D-(1-Aminoethyl)phosphonic acid,C[C@H](N)P(=O)(O)O,C2H8NO3P,['[P](=O)(O)(O)']
C06500,8731,5'-Guanylylmethylenebisphosphonate; 5'-Guanosyl-methylene-triphosphate,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)CP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,C11H18N5O13P3,['[P](=O)(O)(O)']
C12109,14256,AminoDHQ; 5-Deoxy-5-amino-3-dehydroquinic acid,N[C@@H]1C[C@](O)(C(=O)O)CC(=O)[C@H]1O,C7H11NO5,"['[O;H,-]C(=O)']"
C06505,8736,"Cob(I)yrinate a,c diamide; Cob(I)yrinate diamide; Cob(I)yrinic acid a,c-diamide",C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4/[C@@H](CCC(=O)O)[C@](C)(CC(N)=O)[C@](C)(C5N=C1[C@](C)(CCC(=O)O)[C@H]5CC(=O)O)N4[Co])[C@@](C)(CC(N)=O)[C@@H]3CCC(=O)O)C(C)(C)[C@@H]2CCC(=O)O,C45H61CoN6O12,"['[O;H,-]C(=O)']"
C19442,124490114,Medphalan; D-Melphalan,N[C@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,C13H18Cl2N2O2,"['[O;H,-]C(=O)']"
C03450,6271,(3-Arylcarbonyl)-alanine,NC(CC(=O)c1ccccc1)C(=O)O,C10H11NO3,"['[O;H,-]C(=O)']"
C03239,6109,6-Amino-2-oxohexanoate; 2-Oxo-6-aminocaproate,NCCCCC(=O)C(=O)O,C6H11NO3,"['[O;H,-]C(=O)']"
C16163,47205473,"(6Z,9Z,12Z,15Z)-Octadecatetraenoyl-CoA; Stearidonoyl-CoA",CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,C39H62N7O17P3S,['[P](=O)(O)(O)']
C14414,17395414,2-Nitrofuran; AI3-23606,O=[N+]([O-])c1ccco1,C4H3NO3,"['[O-]', '[N+](=O)[O-]']"
C06606,8832,"Paraoxon; O,O-Diethyl-O-p-nitrophenylphosphoric acid",CCOP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1,C10H14NO6P,"['[O-]', '[P](=O)(O)(O)', '[N+](=O)[O-]']"
C06501,8732,Phosphotyrosine; Phosphonotyrosine,N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)O,C9H12NO6P,"['[O;H,-]C(=O)', '[P](=O)(O)(O)']"
C16098,47205408,Neurokinin B; Neuromedin K; Tachykinin-3,CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](CCSC)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(N)=O,C55H79N13O14S2,"['[O;H,-]C(=O)']"
C02843,5783,Long-chain acyl-CoA; Long-chain-fatty acyl-CoA,CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,C24H40N7O17P3S,['[P](=O)(O)(O)']
C16138,47205448,L-Pyrrolysine; Pyrrolysine,C[C@@H]1CC=N[C@H]1C(=O)NCCCC[C@H](N)C(=O)O,C12H21N3O3,"['[O;H,-]C(=O)']"
C03440,6264,cis-4-Hydroxy-D-proline,O=C(O)[C@H]1C[C@@H](O)CN1,C5H9NO3,"['[O;H,-]C(=O)']"
