mol_id,pubchem_sid,mol_name,smiles,formula_calcd,anionic
C05720,8025,"Reduced 2,6-Dichlorophenolindophenol; 2,6-Dichloro-4-[(4-hydroxyphenyl)amino]-phenol",Oc1ccc(Nc2cc(Cl)c(O)c(Cl)c2)cc1,C12H9Cl2NO2,[]
C05670,7978,3-Aminopropiononitrile; beta-Aminopropionitrile,N#CCCN,C3H6N2,[]
C08737,10930,"Melamine; 2,4,6-Triamino-1,3,5-triazine",Nc1nc(N)nc(N)n1,C3H6N6,[]
C21341,319902580,Calicheamicin alpha1(I),CCN[C@H]1CO[C@@H](O[C@H]2[C@H](O[C@H]3C#C/C=C\C#C[C@]4(O)CC(=O)C(NC(=O)OC)=C3/C4=C\CSSSC)O[C@H](C)[C@@H](NO[C@H]3C[C@H](O)[C@H](SC(=O)c4c(C)c(I)c(O)c(OC)c4OC)[C@@H](C)O3)[C@@H]2O)C[C@@H]1OC,C48H62IN3O17S4,[]
C08525,10718,"Crinamine; (3alpha,5alpha,11R,13beta,19alpha)-1, 2-Didehydro-3-methoxycrinan-11-ol",CO[C@H]1C=C[C@@]23c4cc5c(cc4C[N@@](C[C@@H]2O)[C@H]3C1)OCO5,C17H19NO4,[]
C10000,12186,Canthiumine,CN(C)[C@@H](Cc1ccccc1)C(=O)N[C@@H]1C(=O)N2CCC[C@H]2C(=O)N/C=C\c2ccc(cc2)O[C@@H]1c1ccccc1,C33H36N4O4,[]
C09371,11562,Capaurine,COc1cc2c(c(O)c1OC)[C@@H]1Cc3ccc(OC)c(OC)c3CN1CC2,C21H25NO5,[]
C07378,9582,Procyclidine,OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1,C19H29NO,[]
C04548,7154,Synephrine; (+/-)-Synephrine; 1-(4-Hydroxyphenyl)-2-(methylamino)ethanol,CNCC(O)c1ccc(O)cc1,C9H13NO2,[]
C06874,9091,Carteolol,CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2,C16H24N2O3,[]
C07645,9847,Aldophosphamide,NP(=O)(OCCC=O)N(CCCl)CCCl,C7H15Cl2N2O3P,[]
C09998,12184,Amphibine B,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccccc1)N(C)C)C(=O)N1CC[C@@H]2Oc3ccc(cc3)/C=C\NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@H]21,C39H47N5O5,[]
C04732,7303,"5-Amino-6-(1-D-ribitylamino)uracil; 5-Amino-6-(D-ribitylamino)uracil; 6-(1-D-Ribitylamino)-5-amino-2,4-dihydroxypyrimidine; 6-(1-D-Ribitylamino)-5-aminouracil; 4-(1-D-Ribitylamino)-5-amino-2,6-dihydroxypyrimidine",Nc1c(NC[C@H](O)[C@H](O)[C@H](O)CO)[nH]c(=O)[nH]c1=O,C9H16N4O6,[]
C06910,9127,Cisapride,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC,C23H29ClFN3O4,[]
C07655,9857,Streptobiosamine,CN[C@@H]1[C@H](O[C@@H](C=O)[C@@](O)(C=O)[C@H](C)O)O[C@@H](CO)[C@H](O)[C@H]1O,C13H23NO9,[]
C06913,9130,Clemastine,CN1CCC[C@@H]1CCO[C@@](C)(c1ccccc1)c1ccc(Cl)cc1,C21H26ClNO,[]
C07397,9601,"Quetiapine; 2-[2-(4-Dibenzo[b,f][1,4]thiazepin-11-yl-1-piperazinyl)ethoxy]ethanol",OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,C21H25N3O2S,[]
