"Name","Experimental Solubility /mol frac","SMILES","Melting point","Melting point source"
"2-(dimethylamino)ethyl acrylate","0.029284670100725","CN(C)CCOC(=O)C=C","213.15","Chemical book"
"2-(2-oxoimidazolidin-1-yl)ethyl methacrylate","0.083241668167388","CC(=C)C(=O)OCCN1CCNC1=O","243.15","Chemical book"
"tert-butyl methacrylate","5.8726855831379E-5","CC(=C)C(=O)OC(C)(C)C","213.15","Chemical book"
"pentabromobenzyl acrylate","2.8129418786512E-10","Brc1c(Br)c(Br)c(COC(=O)C=C)c(Br)c1Br","388.65","Chemical book"
"8-methylnonyl methacrylate","1.5823084493137E-8","CC(C)CCCCCCCOC(=O)C(C)=C","251.15","Chemical book"
"propane-2,2-diylbis(4,1-phenyleneoxypropane-3,1-diyl) bis(2-methylacrylate)","6.2916184056873E-10","CC(=C)C(=O)OCCCOc1ccc(cc1)C(C)(C)c2ccc(OCCCOC(=O)C(C)=C)cc2","","Chemical book"
"2-hydroxypropyl acrylate","0.12150079896804","CC(O)COC(=O)C=C","350.15","Chemical book"
"ethyl methacrylate","0.00085068379222741","CCOC(=O)C(C)=C","198.15","Chemical book"
"methyl_acrylate","0.010728848373637","O=C(OC)C=C","198.15","Chemical book"
"ethyl_acrylate","0.0032645076157284","O=C(OCC)C=C","202.15","Chemical book"
"methyl_methacrylate","0.0028444654760474","O=C(OC)C(=C)C","225.15","Chemical book"
"2,2,2-trifluoroethyl methacrylate","9.6988435851542E-5","CC(=C)C(=O)OCC(F)(F)F","218.01","Chemical book"
"(octahydro-4,7-methano-1H-indenediyl)bis(methylene) diacrylate","5.7829800366347E-7","C=CC(=O)OCC1CCC2C3CC(CC3COC(=O)C=C)C12","<193.15","SDS"
"2-[2-(2-ethoxyethoxy)ethoxy]ethyl methacrylate","0.0044697250484395","CCOCCOCCOCCOC(=O)C(C)=C","",""
"phenyl methacrylate","5.759189779915E-5","CC(=C)C(=O)Oc1ccccc1","290.15","Chemical book"
"2-methylbutyl acrylate","3.9995763082835E-5","CCC(C)COC(=O)C=C","207.63","Chemical book"
"methyl 3-phenylacrylate","3.3179957295202E-5","COC(=O)\C=C\c1ccccc1","309.15","Chemical book"
"ethyl 3-phenylacrylate","1.74655961474E-5","CCOC(=O)\C=C\c1ccccc1","398.15","Chemical book"
"(1-methyl-1,2-ethanediyl)bis[oxy(methyl-2,1-ethanediyl)] diacrylate","0.00023964290964197","CC(COCC(C)OC(=O)C=C)OCC(C)OC(=O)C=C","","Chemical book"
"(2,4,6-trioxo-1,3,5-triazine-1,3,5(2H,4H,6H)-triyl)tri-2,1-ethanediyl triacrylate","6.3648864073235E-5","C=CC(=O)OCCN1C(=O)N(CCOC(=O)C=C)C(=O)N(CCOC(=O)C=C)C1=O","325.65","Chemical book"
"Irgacure651","9.9166995191421E-6","COC(C(C1=CC=CC=C1)=C)(OC)C2=CC=CC=C2","341.65","https://doi.org/10.1021/acs.chemmater.4c00369"
"TPO","1.0342305165651E-6","CC1=C(C(P(C2=CC=CC=C2)(C3=CC=CC=C3)=O)=O)C(C)=CC(C)=C1","366.15","https://doi.org/10.1021/acs.chemmater.4c00370"
"WS-DMPP-(L)-O(EtOH)","0.00035030151291296","OCCOC1=CC=C(/C=C/C(C(OC)(OC)C2=CC=CC=C2)=O)C=C1","oil","https://doi.org/10.1021/acs.chemmater.4c00371"
"WS-DMPP-(L)-S(EtOH)","0.00019808082242279","OCCSC1=CC=C(/C=C/C(C(OC)(OC)C2=CC=CC=C2)=O)C=C1","oil","https://doi.org/10.1021/acs.chemmater.4c00372"
"WS-DMPP-(L)-N(EtOH)2","0.00015514307678977","OCCN(CCO)C1=CC=C(/C=C/C(C(OC)(OC)C2=CC=CC=C2)=O)C=C1","oil","https://doi.org/10.1021/acs.chemmater.4c00373"
"WS-DMPP-(R)-O(EtOH)","5.3665701280155E-5","O=C(C(OC)(OC)C1=CC=C(OCCO)C=C1)/C=C/C2=CC=CC=C2","oil","https://doi.org/10.1021/acs.chemmater.4c00374"
"WS-DMPP-(R)-S(EtOH)","0.00057864677234939","O=C(C(OC)(OC)C1=CC=C(SCCO)C=C1)/C=C/C2=CC=CC=C2","oil","https://doi.org/10.1021/acs.chemmater.4c00375"
