lookup_id,inchi_key,conf_id,energy_gen,status_gen,method,charge,rot_bonds,filename,energy_xtb,status_xtb,energy_gxtb,status_gxtb,energy_dft,status_dft
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf0,GWZMWHWAWHPNHN-YFKPBYRVSA-N,0,24.783270212842027,generated,rdkit,0,5,GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf0.xyz,,,,,,
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf1,GWZMWHWAWHPNHN-YFKPBYRVSA-N,1,31.359503642084853,generated,rdkit,0,5,GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf1.xyz,,,,,,
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf2,GWZMWHWAWHPNHN-YFKPBYRVSA-N,2,28.54163074703377,generated,rdkit,0,5,GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf2.xyz,,,,,,
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf3,GWZMWHWAWHPNHN-YFKPBYRVSA-N,3,26.092149718435913,generated,rdkit,0,5,GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf3.xyz,,,,,,
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf4,GWZMWHWAWHPNHN-YFKPBYRVSA-N,4,20.513984190312037,generated,rdkit,0,5,GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf4.xyz,,,,,,
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf5,GWZMWHWAWHPNHN-YFKPBYRVSA-N,5,22.645488164662208,generated,rdkit,0,5,GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf5.xyz,,,,,,
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf6,GWZMWHWAWHPNHN-YFKPBYRVSA-N,6,21.158563116355367,generated,rdkit,0,5,GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf6.xyz,,,,,,
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf7,GWZMWHWAWHPNHN-YFKPBYRVSA-N,7,21.89334142270564,generated,rdkit,0,5,GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf7.xyz,,,,,,
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf8,GWZMWHWAWHPNHN-YFKPBYRVSA-N,8,18.743241787789895,generated,rdkit,0,5,GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf8.xyz,,,,,,
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf9,GWZMWHWAWHPNHN-YFKPBYRVSA-N,9,27.090762710967777,generated,rdkit,0,5,GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf9.xyz,,,,,,
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf10,GWZMWHWAWHPNHN-YFKPBYRVSA-N,10,26.53030097693353,generated,rdkit,0,5,GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf10.xyz,,,,,,
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf11,GWZMWHWAWHPNHN-YFKPBYRVSA-N,11,23.717988226787423,generated,rdkit,0,5,GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf11.xyz,,,,,,
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf12,GWZMWHWAWHPNHN-YFKPBYRVSA-N,12,17.58394828242124,generated,rdkit,0,5,GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf12.xyz,,,,,,
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf13,GWZMWHWAWHPNHN-YFKPBYRVSA-N,13,16.009017722668066,generated,rdkit,0,5,GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf13.xyz,,,,,,
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf14,GWZMWHWAWHPNHN-YFKPBYRVSA-N,14,18.5163290503363,generated,rdkit,0,5,GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf14.xyz,,,,,,
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf15,GWZMWHWAWHPNHN-YFKPBYRVSA-N,15,20.163386446331035,generated,rdkit,0,5,GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf15.xyz,,,,,,
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf16,GWZMWHWAWHPNHN-YFKPBYRVSA-N,16,27.885669718417713,generated,rdkit,0,5,GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf16.xyz,,,,,,
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf17,GWZMWHWAWHPNHN-YFKPBYRVSA-N,17,26.347667089077174,generated,rdkit,0,5,GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf17.xyz,,,,,,
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf18,GWZMWHWAWHPNHN-YFKPBYRVSA-N,18,29.862495393765823,generated,rdkit,0,5,GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf18.xyz,,,,,,
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf19,GWZMWHWAWHPNHN-YFKPBYRVSA-N,19,21.64095873911781,generated,rdkit,0,5,GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf19.xyz,,,,,,
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf20,GWZMWHWAWHPNHN-YFKPBYRVSA-N,20,26.82541699275294,generated,rdkit,0,5,GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf20.xyz,,,,,,
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf21,GWZMWHWAWHPNHN-YFKPBYRVSA-N,21,18.936860799878307,generated,rdkit,0,5,GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf21.xyz,,,,,,
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf22,GWZMWHWAWHPNHN-YFKPBYRVSA-N,22,29.155102793661868,generated,rdkit,0,5,GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf22.xyz,,,,,,
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf23,GWZMWHWAWHPNHN-YFKPBYRVSA-N,23,18.45393932920634,generated,rdkit,0,5,GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf23.xyz,,,,,,
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf24,GWZMWHWAWHPNHN-YFKPBYRVSA-N,24,34.24925378214236,generated,rdkit,0,5,GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf24.xyz,,,,,,
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf25,GWZMWHWAWHPNHN-YFKPBYRVSA-N,25,25.392188122622553,generated,rdkit,0,5,GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf25.xyz,,,,,,
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf26,GWZMWHWAWHPNHN-YFKPBYRVSA-N,26,17.740909348772924,generated,rdkit,0,5,GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf26.xyz,,,,,,
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf27,GWZMWHWAWHPNHN-YFKPBYRVSA-N,27,37.922599535004125,generated,rdkit,0,5,GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf27.xyz,,,,,,
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf28,GWZMWHWAWHPNHN-YFKPBYRVSA-N,28,15.679968088374677,generated,rdkit,0,5,GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf28.xyz,,,,,,
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf29,GWZMWHWAWHPNHN-YFKPBYRVSA-N,29,24.1353988978443,generated,rdkit,0,5,GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf29.xyz,,,,,,
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf30,GWZMWHWAWHPNHN-YFKPBYRVSA-N,30,22.070975792684,generated,rdkit,0,5,GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf30.xyz,,,,,,
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf31,GWZMWHWAWHPNHN-YFKPBYRVSA-N,31,27.637340105155303,generated,rdkit,0,5,GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf31.xyz,,,,,,
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf32,GWZMWHWAWHPNHN-YFKPBYRVSA-N,32,22.129541380897756,generated,rdkit,0,5,GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf32.xyz,,,,,,
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf33,GWZMWHWAWHPNHN-YFKPBYRVSA-N,33,19.277288624690524,generated,rdkit,0,5,GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf33.xyz,,,,,,
GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf34,GWZMWHWAWHPNHN-YFKPBYRVSA-N,34,13.435570890236606,generated,rdkit,0,5,GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf34.xyz,,,,,,
