lookup_id,inchi_key,conf_id,energy_gen,status_gen,method,charge,rot_bonds,filename,energy_xtb,status_xtb,energy_gxtb,status_gxtb,energy_dft,status_dft
DPBJAVGHACCNRL-UHFFFAOYSA-N_conf0,DPBJAVGHACCNRL-UHFFFAOYSA-N,0,43.71443074129413,generated,rdkit,0,6,DPBJAVGHACCNRL-UHFFFAOYSA-N_conf0.xyz,,,,,,
DPBJAVGHACCNRL-UHFFFAOYSA-N_conf1,DPBJAVGHACCNRL-UHFFFAOYSA-N,1,48.219507882219446,generated,rdkit,0,6,DPBJAVGHACCNRL-UHFFFAOYSA-N_conf1.xyz,,,,,,
DPBJAVGHACCNRL-UHFFFAOYSA-N_conf2,DPBJAVGHACCNRL-UHFFFAOYSA-N,2,44.430392920497134,generated,rdkit,0,6,DPBJAVGHACCNRL-UHFFFAOYSA-N_conf2.xyz,,,,,,
DPBJAVGHACCNRL-UHFFFAOYSA-N_conf3,DPBJAVGHACCNRL-UHFFFAOYSA-N,3,43.897723301147714,generated,rdkit,0,6,DPBJAVGHACCNRL-UHFFFAOYSA-N_conf3.xyz,,,,,,
DPBJAVGHACCNRL-UHFFFAOYSA-N_conf4,DPBJAVGHACCNRL-UHFFFAOYSA-N,4,42.99773027954541,generated,rdkit,0,6,DPBJAVGHACCNRL-UHFFFAOYSA-N_conf4.xyz,,,,,,
DPBJAVGHACCNRL-UHFFFAOYSA-N_conf5,DPBJAVGHACCNRL-UHFFFAOYSA-N,5,55.434036606893606,generated,rdkit,0,6,DPBJAVGHACCNRL-UHFFFAOYSA-N_conf5.xyz,,,,,,
DPBJAVGHACCNRL-UHFFFAOYSA-N_conf6,DPBJAVGHACCNRL-UHFFFAOYSA-N,6,66.34319704132207,generated,rdkit,0,6,DPBJAVGHACCNRL-UHFFFAOYSA-N_conf6.xyz,,,,,,
DPBJAVGHACCNRL-UHFFFAOYSA-N_conf7,DPBJAVGHACCNRL-UHFFFAOYSA-N,7,42.57399856976554,generated,rdkit,0,6,DPBJAVGHACCNRL-UHFFFAOYSA-N_conf7.xyz,,,,,,
DPBJAVGHACCNRL-UHFFFAOYSA-N_conf8,DPBJAVGHACCNRL-UHFFFAOYSA-N,8,37.71326627229966,generated,rdkit,0,6,DPBJAVGHACCNRL-UHFFFAOYSA-N_conf8.xyz,,,,,,
DPBJAVGHACCNRL-UHFFFAOYSA-N_conf9,DPBJAVGHACCNRL-UHFFFAOYSA-N,9,43.08729194358636,generated,rdkit,0,6,DPBJAVGHACCNRL-UHFFFAOYSA-N_conf9.xyz,,,,,,
DPBJAVGHACCNRL-UHFFFAOYSA-N_conf10,DPBJAVGHACCNRL-UHFFFAOYSA-N,10,32.95241694973302,generated,rdkit,0,6,DPBJAVGHACCNRL-UHFFFAOYSA-N_conf10.xyz,,,,,,
DPBJAVGHACCNRL-UHFFFAOYSA-N_conf11,DPBJAVGHACCNRL-UHFFFAOYSA-N,11,45.62053634147604,generated,rdkit,0,6,DPBJAVGHACCNRL-UHFFFAOYSA-N_conf11.xyz,,,,,,
DPBJAVGHACCNRL-UHFFFAOYSA-N_conf12,DPBJAVGHACCNRL-UHFFFAOYSA-N,12,38.68880250581273,generated,rdkit,0,6,DPBJAVGHACCNRL-UHFFFAOYSA-N_conf12.xyz,,,,,,
DPBJAVGHACCNRL-UHFFFAOYSA-N_conf13,DPBJAVGHACCNRL-UHFFFAOYSA-N,13,38.33746974175758,generated,rdkit,0,6,DPBJAVGHACCNRL-UHFFFAOYSA-N_conf13.xyz,,,,,,
DPBJAVGHACCNRL-UHFFFAOYSA-N_conf14,DPBJAVGHACCNRL-UHFFFAOYSA-N,14,185.82949919241514,generated,rdkit,0,6,DPBJAVGHACCNRL-UHFFFAOYSA-N_conf14.xyz,,,,,,
DPBJAVGHACCNRL-UHFFFAOYSA-N_conf15,DPBJAVGHACCNRL-UHFFFAOYSA-N,15,50.24690221698935,generated,rdkit,0,6,DPBJAVGHACCNRL-UHFFFAOYSA-N_conf15.xyz,,,,,,
DPBJAVGHACCNRL-UHFFFAOYSA-N_conf16,DPBJAVGHACCNRL-UHFFFAOYSA-N,16,50.520554700897044,generated,rdkit,0,6,DPBJAVGHACCNRL-UHFFFAOYSA-N_conf16.xyz,,,,,,
DPBJAVGHACCNRL-UHFFFAOYSA-N_conf17,DPBJAVGHACCNRL-UHFFFAOYSA-N,17,47.079968847570996,generated,rdkit,0,6,DPBJAVGHACCNRL-UHFFFAOYSA-N_conf17.xyz,,,,,,
