# master_csv: /home/lunet/cglh4/openCOSMO-RS_Pipeline-LH/pipeline_data/3_conformer_xyz/acrylates/rdkit/_master_acrylates_rdkit_100.csv
# previous_lookup: None
# method: topN
# params: {'top_n': 20}
# energy_source: energy_gen# total_input: 2700
# usable_energy: 2700
# total_pruned: 540

lookup_id,energy_active,energy_rank
BAPJBEWLBFYGME-UHFFFAOYSA-N_conf56,5.146753443047107,1.0
BAPJBEWLBFYGME-UHFFFAOYSA-N_conf70,5.948684633560887,2.0
BAPJBEWLBFYGME-UHFFFAOYSA-N_conf29,6.028252024216911,3.0
BAPJBEWLBFYGME-UHFFFAOYSA-N_conf54,6.049706086392751,4.0
BAPJBEWLBFYGME-UHFFFAOYSA-N_conf75,6.1164273967574285,5.0
BAPJBEWLBFYGME-UHFFFAOYSA-N_conf44,6.60767423853353,6.0
BAPJBEWLBFYGME-UHFFFAOYSA-N_conf53,6.682544017559372,7.0
BAPJBEWLBFYGME-UHFFFAOYSA-N_conf86,6.969353806705465,8.0
BAPJBEWLBFYGME-UHFFFAOYSA-N_conf62,7.01829562599338,9.0
BAPJBEWLBFYGME-UHFFFAOYSA-N_conf90,7.028792202626395,10.0
BAPJBEWLBFYGME-UHFFFAOYSA-N_conf87,7.135532523291031,11.0
BAPJBEWLBFYGME-UHFFFAOYSA-N_conf21,7.198558055444803,12.0
BAPJBEWLBFYGME-UHFFFAOYSA-N_conf74,7.491675580891563,13.0
BAPJBEWLBFYGME-UHFFFAOYSA-N_conf35,7.508160517053896,14.0
BAPJBEWLBFYGME-UHFFFAOYSA-N_conf16,7.527478115276007,15.0
BAPJBEWLBFYGME-UHFFFAOYSA-N_conf67,7.720872454780777,16.0
BAPJBEWLBFYGME-UHFFFAOYSA-N_conf19,7.742059493120028,17.0
BAPJBEWLBFYGME-UHFFFAOYSA-N_conf73,7.788613235540606,18.0
BAPJBEWLBFYGME-UHFFFAOYSA-N_conf99,7.93650199759192,19.0
BAPJBEWLBFYGME-UHFFFAOYSA-N_conf8,7.959087353754144,20.0
CCRCUPLGCSFEDV-BQYQJAHWSA-N_conf45,25.685236928671674,1.0
CCRCUPLGCSFEDV-BQYQJAHWSA-N_conf5,26.33144387734741,2.0
CCRCUPLGCSFEDV-BQYQJAHWSA-N_conf86,26.389936985409577,3.0
CCRCUPLGCSFEDV-BQYQJAHWSA-N_conf12,26.962980081970574,4.0
CCRCUPLGCSFEDV-BQYQJAHWSA-N_conf70,27.08520758334304,5.0
CCRCUPLGCSFEDV-BQYQJAHWSA-N_conf10,27.229955861045724,6.0
CCRCUPLGCSFEDV-BQYQJAHWSA-N_conf88,27.473792671514705,7.0
CCRCUPLGCSFEDV-BQYQJAHWSA-N_conf75,27.524271925744618,8.0
CCRCUPLGCSFEDV-BQYQJAHWSA-N_conf94,27.561796671228773,9.0
CCRCUPLGCSFEDV-BQYQJAHWSA-N_conf51,27.6796736114919,10.0
CCRCUPLGCSFEDV-BQYQJAHWSA-N_conf93,27.71853852130781,11.0
CCRCUPLGCSFEDV-BQYQJAHWSA-N_conf39,27.767500602102032,12.0
CCRCUPLGCSFEDV-BQYQJAHWSA-N_conf41,27.93906262426269,13.0
CCRCUPLGCSFEDV-BQYQJAHWSA-N_conf22,27.98077076691888,14.0
CCRCUPLGCSFEDV-BQYQJAHWSA-N_conf14,28.03627257893702,15.0
CCRCUPLGCSFEDV-BQYQJAHWSA-N_conf74,28.05083303550433,16.0
CCRCUPLGCSFEDV-BQYQJAHWSA-N_conf1,28.123832564422884,17.0
CCRCUPLGCSFEDV-BQYQJAHWSA-N_conf81,28.154300768718755,18.0
CCRCUPLGCSFEDV-BQYQJAHWSA-N_conf21,28.231788330806356,19.0
CCRCUPLGCSFEDV-BQYQJAHWSA-N_conf25,28.28985443886761,20.0
COCLLEMEIJQBAG-UHFFFAOYSA-N_conf47,35.08695290055798,1.0
COCLLEMEIJQBAG-UHFFFAOYSA-N_conf61,38.47577030344271,2.0
COCLLEMEIJQBAG-UHFFFAOYSA-N_conf57,39.08610414978835,3.0
COCLLEMEIJQBAG-UHFFFAOYSA-N_conf4,39.516358376308816,4.0
COCLLEMEIJQBAG-UHFFFAOYSA-N_conf81,40.10608902180805,5.0
COCLLEMEIJQBAG-UHFFFAOYSA-N_conf87,41.09818290717381,6.0
COCLLEMEIJQBAG-UHFFFAOYSA-N_conf80,41.510329772339176,7.0
COCLLEMEIJQBAG-UHFFFAOYSA-N_conf5,44.08229688390508,8.0
COCLLEMEIJQBAG-UHFFFAOYSA-N_conf26,44.527427220706265,9.0
COCLLEMEIJQBAG-UHFFFAOYSA-N_conf32,45.72470524152815,10.0
COCLLEMEIJQBAG-UHFFFAOYSA-N_conf85,46.20820369859046,11.0
COCLLEMEIJQBAG-UHFFFAOYSA-N_conf96,46.42928119528752,12.0
COCLLEMEIJQBAG-UHFFFAOYSA-N_conf58,46.60574599150387,13.0
COCLLEMEIJQBAG-UHFFFAOYSA-N_conf39,46.85915732508926,14.0
COCLLEMEIJQBAG-UHFFFAOYSA-N_conf65,46.87068537218667,15.0
COCLLEMEIJQBAG-UHFFFAOYSA-N_conf51,46.94497276335524,16.0
COCLLEMEIJQBAG-UHFFFAOYSA-N_conf7,47.53734530176503,17.0
COCLLEMEIJQBAG-UHFFFAOYSA-N_conf43,47.67585104287118,18.0
COCLLEMEIJQBAG-UHFFFAOYSA-N_conf73,47.7594988532641,19.0
COCLLEMEIJQBAG-UHFFFAOYSA-N_conf37,47.99735453888182,20.0
DPBJAVGHACCNRL-UHFFFAOYSA-N_conf36,28.458323991164043,1.0
DPBJAVGHACCNRL-UHFFFAOYSA-N_conf97,29.03725031437696,2.0
DPBJAVGHACCNRL-UHFFFAOYSA-N_conf65,29.64134332794352,3.0
DPBJAVGHACCNRL-UHFFFAOYSA-N_conf23,29.781372013933304,4.0
DPBJAVGHACCNRL-UHFFFAOYSA-N_conf57,30.288564747721704,5.0
DPBJAVGHACCNRL-UHFFFAOYSA-N_conf82,30.548413051052304,6.0
DPBJAVGHACCNRL-UHFFFAOYSA-N_conf20,31.863691175518188,7.0
DPBJAVGHACCNRL-UHFFFAOYSA-N_conf78,31.977810239090097,8.0
DPBJAVGHACCNRL-UHFFFAOYSA-N_conf63,32.281756487769044,9.0
DPBJAVGHACCNRL-UHFFFAOYSA-N_conf96,32.403548847326846,10.0
DPBJAVGHACCNRL-UHFFFAOYSA-N_conf29,32.62550453044763,11.0
DPBJAVGHACCNRL-UHFFFAOYSA-N_conf10,32.95241694973302,12.0
DPBJAVGHACCNRL-UHFFFAOYSA-N_conf61,33.42741239158165,13.0
DPBJAVGHACCNRL-UHFFFAOYSA-N_conf98,33.6417308708425,14.0
DPBJAVGHACCNRL-UHFFFAOYSA-N_conf66,33.794217350074966,15.0
DPBJAVGHACCNRL-UHFFFAOYSA-N_conf60,34.01792129675142,16.0
DPBJAVGHACCNRL-UHFFFAOYSA-N_conf85,34.08679615792024,17.0
DPBJAVGHACCNRL-UHFFFAOYSA-N_conf52,34.50922148820136,18.0
DPBJAVGHACCNRL-UHFFFAOYSA-N_conf76,34.50984318471957,19.0
DPBJAVGHACCNRL-UHFFFAOYSA-N_conf34,34.563711133356826,20.0
GRKDVZMVHOLESV-UHFFFAOYSA-N_conf62,35.5699520013564,1.0
GRKDVZMVHOLESV-UHFFFAOYSA-N_conf75,36.32013059288675,2.0
GRKDVZMVHOLESV-UHFFFAOYSA-N_conf49,36.80224045143972,3.0
GRKDVZMVHOLESV-UHFFFAOYSA-N_conf52,36.94817909419352,4.0
GRKDVZMVHOLESV-UHFFFAOYSA-N_conf19,37.11939186758519,5.0
GRKDVZMVHOLESV-UHFFFAOYSA-N_conf78,37.38669455547552,6.0
GRKDVZMVHOLESV-UHFFFAOYSA-N_conf25,37.80039687311455,7.0
GRKDVZMVHOLESV-UHFFFAOYSA-N_conf12,37.99744985494318,8.0
GRKDVZMVHOLESV-UHFFFAOYSA-N_conf23,38.18281983249937,9.0
GRKDVZMVHOLESV-UHFFFAOYSA-N_conf74,38.196110246565794,10.0
GRKDVZMVHOLESV-UHFFFAOYSA-N_conf80,38.294491399456106,11.0
GRKDVZMVHOLESV-UHFFFAOYSA-N_conf69,38.601227974820354,12.0
GRKDVZMVHOLESV-UHFFFAOYSA-N_conf34,38.77163001097382,13.0
