dataset,generation_engine,pruning_method,optimisation_engine,lookup_id,energy,status,xyz_file,log_file
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,BAPJBEWLBFYGME-UHFFFAOYSA-N_conf244,-7.8503,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/BAPJBEWLBFYGME-UHFFFAOYSA-N_conf244_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/BAPJBEWLBFYGME-UHFFFAOYSA-N_conf244_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,BAPJBEWLBFYGME-UHFFFAOYSA-N_conf56,-8.1782,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/BAPJBEWLBFYGME-UHFFFAOYSA-N_conf56_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/BAPJBEWLBFYGME-UHFFFAOYSA-N_conf56_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,BAPJBEWLBFYGME-UHFFFAOYSA-N_conf207,-9.1121,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/BAPJBEWLBFYGME-UHFFFAOYSA-N_conf207_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/BAPJBEWLBFYGME-UHFFFAOYSA-N_conf207_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,CCRCUPLGCSFEDV-BQYQJAHWSA-N_conf45,-9.1534,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/CCRCUPLGCSFEDV-BQYQJAHWSA-N_conf45_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/CCRCUPLGCSFEDV-BQYQJAHWSA-N_conf45_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,CCRCUPLGCSFEDV-BQYQJAHWSA-N_conf179,-10.0302,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/CCRCUPLGCSFEDV-BQYQJAHWSA-N_conf179_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/CCRCUPLGCSFEDV-BQYQJAHWSA-N_conf179_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,CCRCUPLGCSFEDV-BQYQJAHWSA-N_conf184,-7.4449,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/CCRCUPLGCSFEDV-BQYQJAHWSA-N_conf184_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/CCRCUPLGCSFEDV-BQYQJAHWSA-N_conf184_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,COCLLEMEIJQBAG-UHFFFAOYSA-N_conf47,-21.14,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/COCLLEMEIJQBAG-UHFFFAOYSA-N_conf47_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/COCLLEMEIJQBAG-UHFFFAOYSA-N_conf47_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,COCLLEMEIJQBAG-UHFFFAOYSA-N_conf192,-20.5439,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/COCLLEMEIJQBAG-UHFFFAOYSA-N_conf192_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/COCLLEMEIJQBAG-UHFFFAOYSA-N_conf192_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,COCLLEMEIJQBAG-UHFFFAOYSA-N_conf61,-22.0268,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/COCLLEMEIJQBAG-UHFFFAOYSA-N_conf61_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/COCLLEMEIJQBAG-UHFFFAOYSA-N_conf61_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,DPBJAVGHACCNRL-UHFFFAOYSA-N_conf203,-13.6931,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/DPBJAVGHACCNRL-UHFFFAOYSA-N_conf203_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/DPBJAVGHACCNRL-UHFFFAOYSA-N_conf203_xtb.log
